version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35724 22 6 11 1292 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 10.192.10.41 5000 41998 6 5 450 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35728 22 6 7 844 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35838 6 14 2289 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35788 22 6 20 2430 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.41 10.192.10.231 41964 5000 6 6 459 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35816 6 16 2473 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35772 22 6 22 2518 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35814 6 19 2709 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 10.192.11.208 5000 34430 6 5 450 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35760 6 25 3277 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35812 6 16 2473 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35798 22 6 17 2162 1633688676 1633688691 ACCEPT OK
